Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bryant Reeves\bryant-reeves-1,SR,1994-95,C,Oklahoma State,Big 8,37,1288,289,493,289,488,0,5,219,310,,,350,30,18,60,109,118,797
Lee Nailon\lee-nailon-1,JR,1997-98,C,Texas Christian,WAC,32,,329,594,328,592,1,2,137,184,,,285,61,56,33,,,796
Richard Hamilton\richard-hamilton-1,SO,1997-98,F,Connecticut,Big East,37,,270,614,171,369,99,245,156,185,,,163,87,54,8,,,795
Blake Griffin\blake-griffin-1,SO,2008-09,F,Oklahoma,Big 12,35,,300,459,297,451,3,8,191,324,,,504,80,39,41,116,,794
Reggie Holmes\reggie-holmes-1,SR,2009-10,G,Morgan State,MEAC,37,1226,226,583,126,304,100,279,241,294,56,102,158,31,57,6,74,88,793
Vin Baker\vin-baker-1,SR,1992-93,C,Hartford,NAC,28,1019,305,639,273,520,32,119,150,240,,,300,54,39,74,81,79,792
Luke Harangody\luke-harangody-1,JR,2008-09,F,Notre Dame,Big East,34,,300,653,286,615,14,38,178,229,,,401,70,31,31,62,,792
Bubba Wells\bubba-wells-1,JR,1995-96,F,Austin Peay,OVC,30,1083,312,568,278,490,34,78,131,173,,,219,86,48,45,78,59,789
Marshon Brooks\marshon-brooks-1,SR,2010-11,G-F,Providence,Big East,32,1168,276,571,209,374,67,197,169,219,72,153,225,80,48,39,98,80,788
Ronnie McCollum\ronnie-mccollum-1,SR,2000-01,G,Centenary (LA),Ind,27,,244,592,159,340,85,252,214,236,,,101,32,27,1,,,787
Jaycee Carroll\jaycee-carroll-1,SR,2007-08,G,Utah State,WAC,35,,267,508,153,279,114,229,137,149,,,209,76,33,7,70,,785
Calbert Cheaney\calbert-cheaney-1,SR,1992-93,F,Indiana,Big Ten,35,1181,303,552,256,442,47,110,132,166,,,223,84,33,10,85,76,785
Rob Feaster\rob-feaster-1,JR,1993-94,F,Holy Cross,Patriot,28,,261,553,219,452,42,101,221,315,,,183,59,43,22,,,785
Rashad Phillips\rashad-phillips-1,SR,2000-01,G,Detroit Mercy,MW Coll,35,,232,535,96,207,136,328,185,202,,,88,145,35,0,,,785
Damian Lillard\damian-lillard-1,JR,2011-12,G,Weber State,Big Sky,32,1105,231,495,137,265,94,230,228,257,17,144,161,128,47,7,74,62,784
Ruben Douglas\ruben-douglas-1,SR,2002-03,G,New Mexico,MWC,28,,218,549,124,311,94,238,253,301,,,185,58,35,8,,,783
Troy Bell\troy-bell-1,SR,2002-03,G,Boston College,Big East,31,1198,224,508,118,244,106,264,227,268,,,142,115,70,6,79,66,781
Kurt Thomas\kurt-thomas-1,SR,1994-95,C,Texas Christian,SWC,27,872,288,526,285,514,3,12,202,283,,,393,32,51,66,77,106,781
Steve Burtt\steve-burtt-2,SR,2005-06,G,Iona,MAAC,31,,258,579,162,343,96,236,168,204,,,103,79,22,2,,,780
Norris Cole\norris-cole-1,SR,2010-11,G,Cleveland State,Horizon,36,1285,251,572,200,423,51,149,227,266,27,183,210,191,80,3,97,87,780
Tyler Haws\tyler-haws-1,SO,2012-13,G,Brigham Young,WCC,36,1235,276,571,233,458,43,113,185,211,49,116,165,71,45,5,71,54,780
Grayson Allen\grayson-allen-1,SO,2015-16,G,Duke,ACC,36,1317,239,513,149,297,90,216,211,252,24,141,165,127,47,5,72,98,779
Alec Burks\alec-burks-1,SO,2010-11,G,Colorado,Big 12,38,1193,251,535,223,439,28,96,249,302,91,156,247,112,41,12,99,89,779
Carmelo Anthony\carmelo-anthony-1,FR,2002-03,F,Syracuse,Big East,35,1274,277,612,221,446,56,166,168,238,,,349,77,55,30,77,77,778
Shane Battier\shane-battier-1,SR,2000-01,F,Duke,ACC,39,1363,251,533,127,237,124,296,152,191,,,285,72,82,88,60,80,778
Stefon Jackson\stefon-jackson-1,JR,2007-08,G,Texas-El Paso,CUSA,33,,261,562,226,457,35,105,221,303,,,188,57,39,3,77,,778
Shawn Respert\shawn-respert-1,JR,1993-94,G,Michigan State,Big Ten,32,1076,272,562,180,357,92,205,142,169,,,127,81,43,5,106,63,778
Taylor Coppenrath\taylor-coppenrath-1,SR,2004-05,F,Vermont,AEC,31,,271,524,262,491,9,33,226,295,,,277,60,38,21,,,777
Paul Pierce\paul-pierce-1,JR,1997-98,F,Kansas,Big 12,38,,287,559,247,441,40,118,163,221,,,253,98,42,43,,,777
Anthony Barber\anthony-cat-barber-1,JR,2015-16,G,North Carolina State,ACC,33,1278,248,572,205,453,43,119,237,274,21,130,151,147,21,2,85,71,776
Tyler Haws\tyler-haws-1,SR,2014-15,G,Brigham Young,WCC,35,1125,258,538,204,391,54,147,206,236,46,110,156,83,33,9,69,48,776
Bo McCalebb\bo-mccalebb-1,JR,2006-07,G,New Orleans,Sun Belt,31,,287,601,261,523,26,78,176,248,,,211,101,62,5,,,776
Mike Sweetney\mike-sweetney-1,JR,2002-03,F,Georgetown,Big East,34,1100,264,483,264,480,0,3,248,336,,,352,66,50,109,71,95,776
Keydren Clark\keydren-clark-1,SO,2003-04,G,Saint Peter's,MAAC,29,,233,562,121,267,112,295,197,235,,,124,125,51,4,,,775
Wally Szczerbiak\wally-szczerbiak-1,SR,1998-99,F,Miami (OH),MAC,32,1081,270,517,207,340,63,177,172,207,,,272,93,39,32,101,98,775
Tucker Neale\tucker-neals-1,JR,1993-94,G,Colgate,Patriot,29,,249,524,154,286,95,238,178,214,,,120,84,48,6,,,771
Terry Dehere\terry-dehere-1,SR,1992-93,G,Seton Hall,Big East,35,1203,242,525,158,313,84,212,202,247,,,105,70,40,8,93,75,770
Steve Logan\steve-logan-1,SR,2001-02,G,Cincinnati,CUSA,35,,246,538,160,308,86,230,192,220,,,107,187,32,0,,,770
Corliss Williamson\corliss-williamson-1,JR,1994-95,F,Arkansas,SEC,39,1208,283,515,282,509,1,6,203,304,,,293,89,67,33,92,106,770
MoMo Jones\lamont-jones-1,SR,2012-13,G,Iona,MAAC,34,1246,246,561,190,383,56,178,221,249,24,77,101,116,40,2,114,73,769
Marcus Brown\marcus-brown-1,SR,1995-96,G,Murray State,OVC,29,1080,254,536,180,361,74,175,185,220,,,139,119,65,8,102,82,767
Antonio Daniels\antonio-daniels-1,SR,1996-97,G,Bowling Green State,MAC,32,1161,279,510,234,406,45,104,164,211,,,90,216,73,10,103,51,767
Tyler Haws\tyler-haws-1,JR,2013-14,G,Brigham Young,WCC,33,1143,252,544,212,445,40,99,223,253,33,93,126,49,34,9,63,75,767
